"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2002dp","2002/06/18","14.43","NGC 7678","23:28:30.12","+22:25:38.8,+22:25:38.78","Ia","240","12","",""
"SN2005al","2005/02/24","15.01","NGC 5304","13:50:01.497,13:50:0.24,13:50:00.33","-30:34:42.22,-30:34:34.32,-30:34:34.2,-30:34:34.21","Ia","240","7","",""
"SN2007nq","2007/10/21","17.41","UGC 595","00:57:33.60,00:57:33.721,00:57:33.6,00:57:33.58,00:57:33.57","-01:23:19.5,-01:23:20.29,-01:23:19.464,-01:23:19.00,-01:23:19.0","Ia","239","16","",""
"SN2008fp","2008/09/11","13.39","ESO 428-G14","07:16:32.60,07:16:32.64,07:16:32.6","-29:19:31.7,-29:19:31.80,-29:19:31.69","Ia","234","21","",""
"SN2001bf","2001/05/03","14.19","MCG +04-42-22","18:01:33.99","+26:15:02.3,+26:15:02.30","Ia","232","11","0",""
"SN2007if","2007/08/16","17.48","J011051.37+152739","01:10:51.37,01:10:51.370,01:10:51.408,01:10:51.36","+15:27:39.9,+15:27:39.63,+15:27:39.6,+15:27:39.96,+15:27:39.89","Ia Pec","232","34","",""
"SN2017ckx","2017/03/28","13.88","UGC 4030 NED01","07:48:11.01,07:48:11.010,07:48:11.04","+28:13:49.04,+28:13:49.08","Ia","232","1","",""
"SN2007cq","2007/06/21","15.29","2MASX J22144070+0504435","22:14:40.41,22:14:40.32,22:14:40.43","+05:04:48.6,+05:04:48.612,+05:04:48.9,+05:04:48.90","Ia","228","8","",""
"SN2002cx","2002/05/12","17.3","CGCG 044-035","13:13:49.72","+06:57:31.9,+06:57:31.90","Ia-02cx","227","13","",""
"SN2007co","2007/06/04","16.1","MCG +05-43-16","18:23:03.60,18:23:03.6","+29:53:49.6,+29:53:49.56,+29:53:49.49,+29:53:49.5","Ia","227","25","",""
"SN2008A","2008/01/02","15.68","NGC 634","01:38:17.38,01:38:17.394,01:38:17.4","+35:22:13.7,+35:22:13.06,+35:22:13.08,+35:22:13.69","Ia-02cx","227","34","0",""
"SN1999cl","1999/05/29","12.58","NGC 4501","12:31:56.01","+14:25:35.3,+14:25:35.29","Ia","226","15","0",""
"SN2001eh","2001/09/09","16.4","UGC 1162","01:38:12.10","+41:39:18.8,+41:39:18.79","Ia","226","33","",""
"SN1997br","1997/04/10","13.58","ESO 576-40","13:20:42.40","-22:02:12.3,-22:02:12.30,-22:02:13.3","Ia Pec","225","26","",""
"SN2006ej","2006/08/23","15.46","NGC 191","00:38:59.77","-09:00:56.6,-09:00:56.59","Ia","225","8","",""
"SN2006lf","2006/10/26","15.35","UGC 3108","04:38:29.49,04:38:29.496","+44:02:01.5,+44:02:01.68,+44:02:01.50","Ia","225","24","",""
"SN1999gp","1999/12/23","14.9","UGC 1993","02:31:39.15","+39:22:52.3,+39:22:52.28","Ia","223","10","",""
"SN2008bc","2008/03/13","15.43","A093831-6358","09:38:31.23,09:38:31.20","-63:58:25.6,-63:58:25.68,-63:58:25.61","Ia","223","11","",""
"SN2001ep","2001/10/03","14.83","NGC 1699","04:57:00.26","-04:45:40.2,-04:45:40.21","Ia","221","42","",""
"SN2007ca","2007/04/25","15.47","MCG -02-34-61","13:31:05.81,13:31:06,13:31:5.76","-15:06:06.6,-15:06:06.12,-15:06:06.48,-15:06:06.59","Ia","221","14","",""
"SN2009Y","2009/02/01","14.14","NGC 5728","14:42:23.68,14:42:24.563,14:42:23.76,14:42:24.55,14:42:23.85","-17:14:48.3,-17:14:46.70,-17:14:48.12,-17:14:46.3,-17:14:48.41,-17:14:48.4","Ia","220","19","",""
"SN1999dk","1999/08/12","14.54","UGC 1087","01:31:26.92","+14:17:05.7,+14:17:05.71","Ia","215","5","",""
"SN2004S","2004/02/03","14.32","MCG -05-16-21","06:45:43.50","-31:13:52.5,-31:13:52.50","Ia","215","11","",""
"SN2007ax","2007/03/21","14.54","NGC 2577","08:22:43.26,08:22:43.20,08:22:43.23","+22:33:16.9,+22:33:16.92,+22:33:16.88","Ia Pec","209","8","",""
"SN2005iq","2005/11/05","16.65","MCG -03-01-08","23:58:32.50,23:58:32.4,23:58:32.40","-18:42:33.0,-18:42:32.76,-18:42:33.12,-18:42:33.01","Ia","208","4","",""
"SN2006is","2006/09/18","16.28","A051734-2346","05:17:34.37","-23:46:54.2,-23:46:54.12,-23:46:54.19","Ia","207","19","",""
"SN1998dh","1998/07/20","13.93","NGC 7541","23:14:40.31","+04:32:14.1,+04:32:14.10","Ia","206","14","",""
"SN2001ay","2001/04/18","15.1","IC 4423","14:26:17.00","+26:14:55.8,+26:14:55.79","Ia Pec","206","28","",""
"SN2006et","2006/09/03","15.82","NGC 232","00:42:45.82","-23:33:30.4,-23:33:30.24,-23:33:30.38","Ia","205","12","",""
"SN2003W","2003/01/28","15.75","UGC 5234","09:46:49.48,09:46:49.488","+16:02:37.6,+16:02:37.61,+16:02:37.69","Ia","197","20","",""
"SN2005A","2005/01/05","16.17","NGC 958","02:30:43.25","-02:56:19.8,-02:56:19.79","Ia","196","13","",""
"SN2000E","2000/01/26","13.42","NGC 6951","20:37:13.77","+66:05:50.2,+66:05:50.21","Ia","195","5","0",""
"SN2006kf","2006/10/21","16.36","UGC 2829","03:41:50.48,03:41:50.47","+08:09:25.0,+08:09:24.98","Ia","195","12","",""
"SN2002he","2002/10/28","15.8","UGC 4322","08:19:58.83","+62:49:13.2,+62:49:13.19","Ia Pec","187","9","",""
"SN2006eq","2006/08/26","18.28","SDSS J12837.60+011348.6","21:28:37.13,21:28:37.2,21:28:37.20","+01:13:41.2,+01:13:41.196,+01:13:40.944,+01:13:41.20","Ia","187","3","",""
